finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
index,M044,184.192,151.951,184.71624851638038,152.97195913783412,0.0018535719,0.0036976216,0.012108772,0.005736468,0.0027015675,0.025484195,0.7737307,0.065251276,0.6301453,0.012795722,brown_exact,2.204060286851291e-14,2.204060286851291e-14,ray_hit,0.0,2.842171e-14,right_indexdip_roll_rubber_link,1634
index,M045,159.986,152.091,159.8834609831431,152.91383813362313,-0.00044436054,0.0036921925,0.012108647,0.0057656495,0.00040381702,0.02548047,0.80340785,-0.03003424,0.59467113,0.012666849,brown_exact,7.246433953445041e-15,7.246433953445041e-15,ray_hit,0.0,0.0,right_indexdip_roll_rubber_link,842
index,M046,136.136,152.394,135.15386085899164,153.71140077738738,-0.0026803287,0.0036939608,0.011876479,0.0056336103,-0.0018337356,0.025309056,0.73947394,-0.15309666,0.65554535,0.012723217,brown_exact,4.4262011570248025e-14,4.4262011570248025e-14,ray_hit,0.0,6.3552875e-14,right_indexdip_roll_rubber_link,828
index,M047,207.29,152.573,209.45424735289816,154.53162756489067,0.004053696,0.003759711,0.011848514,0.005492097,0.0048991414,0.025332244,0.7555506,0.19597276,0.62509036,0.013074982,brown_exact,6.243550508209248e-14,6.243550508209248e-14,ray_hit,0.0,8.038873e-14,right_indexdip_roll_rubber_link,1510
index,M049,113.203,153.339,109.77795715461102,155.94964632728352,-0.0047577475,0.0037210523,0.011338528,0.005276501,-0.0039152005,0.024927258,0.6947651,-0.37680563,0.6126329,0.012846969,brown_exact,3.62879694812131e-14,3.62879694812131e-14,ray_hit,0.0,3.1776438e-14,right_indexdip_roll_rubber_link,912
index,M050,227.871,154.222,233.70591348178465,157.93034226967217,0.0059565813,0.0038774402,0.011292942,0.0050121252,0.0067968713,0.024997968,0.66411775,0.4247776,0.615233,0.013343385,brown_exact,8.749575644910456e-12,8.749575644910456e-12,ray_hit,0.0,8.767026e-12,right_indexdip_roll_rubber_link,1499
index,M051,88.41,154.834,78.41394564475583,160.16473573837624,-0.006756407,0.0036940386,0.010247916,0.0045891283,-0.005921528,0.02409842,0.5265805,-0.6228096,0.57863736,0.012818531,brown_exact,1.4527727658641964e-14,1.4527727658641964e-14,ray_hit,0.0,1.4210855e-14,right_indexdip_roll_rubber_link,1245
index,M053,255.711,160.912,274.0076959509041,170.30140743654053,0.008153013,0.004275525,0.00975882,0.0036660733,0.008978656,0.02412374,0.48397848,0.74083436,0.46575668,0.013415897,brown_exact,1.346063085556048e-11,1.346063085556048e-11,ray_hit,0.0,1.347237e-11,right_indexdip_roll_rubber_link,1557
index,M054,61.788,163.898,33.77295889355665,177.38634756355927,-0.008310458,0.0040901857,0.008306749,0.0030134635,-0.0074929725,0.022920296,0.29731694,-0.86622816,0.40156114,0.01244168,brown_exact,9.750067788532476e-12,9.750067788532476e-12,ray_hit,0.0,9.816163e-12,right_indexdip_roll_rubber_link,1082
index,M055,280.575,169.573,323.9379575223837,190.18362835255388,0.009396826,0.0045587765,0.0077211596,0.002079079,0.010205119,0.022798372,0.24995363,0.9164811,0.3123869,0.012988421,brown_exact,3.246941181883724e-14,3.246941181883724e-14,ray_hit,0.0,6.3552875e-14,right_indexdip_roll_rubber_link,1591
index,M056,160.092,171.974,159.84933391413733,175.00521449192405,-0.0004541949,0.0058269985,0.012289293,0.0042996327,0.00037788547,0.0270426,0.6725501,-0.021633228,0.73973536,0.01360834,brown_exact,7.303097844831789e-15,7.303097844831789e-15,ray_hit,0.0,0.0,right_indexdip_roll_rubber_link,810
index,M057,182.108,172.349,183.11389694570374,175.72211866517026,0.0017305008,0.0058937464,0.012287744,0.004224993,0.0025618933,0.027086092,0.67792916,0.09401044,0.7290912,0.013737523,brown_exact,1.026033736153733e-14,1.026033736153733e-14,ray_hit,0.0,0.0,right_indexdip_roll_rubber_link,1490
index,M058,138.806,172.666,137.1216535957498,176.47316631541105,-0.0025377506,0.00584782,0.012047483,0.004145309,-0.0017074903,0.026876763,0.66169786,-0.14789788,0.7350389,0.013630078,brown_exact,1.621132128783716e-14,1.621132128783716e-14,ray_hit,0.0,0.0,right_indexdip_roll_rubber_link,836
