finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M048,312.022,153.095,406.0390774747739,177.37144570880002,0.009829122,0.002623371,0.005329034,0.0034049759,0.010641531,0.049226787,0.17287864,0.97393614,0.14683777,0.011484438,monotonic_extrapolation,5.244170994262152,0.0,ray_hit,0.0,6.3552875e-14,right_middip_roll_rubber_link,1460
middle,M049,113.203,153.339,109.77795715461102,155.94964632728352,-0.0047999346,0.0037540467,0.011439067,0.006714591,-0.003975817,0.05451827,0.7278345,-0.28510657,0.6236755,0.012960883,brown_exact,3.62879694812131e-14,3.62879694812131e-14,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,883
middle,M050,227.871,154.222,233.70591348178465,157.93034226967217,0.005896424,0.0038382807,0.01117889,0.0064395205,0.0067196283,0.054381706,0.6494885,0.424239,0.6310198,0.013208626,brown_exact,8.749575644910456e-12,8.749575644910456e-12,ray_hit,0.0,8.74105e-12,right_middip_roll_rubber_link,1499
middle,M051,88.41,154.834,78.41394564475583,160.16473573837624,-0.0068402286,0.0037398676,0.010375054,0.0060190363,-0.0060186046,0.053719305,0.55172336,-0.62545323,0.5517332,0.01297756,brown_exact,1.4527727658641964e-14,1.4527727658641964e-14,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1245
middle,M052,8.07,156.659,-118.91427666968602,190.02773457385945,-0.009728555,0.0026449428,0.004488796,0.0028953853,-0.008918087,0.04861782,0.049922667,-0.9893983,0.13637702,0.011035841,monotonic_extrapolation,15.31197566350947,5.856098308447677e-14,ray_hit,0.0,6.3948846e-14,right_middip_roll_rubber_link,1156
middle,M053,255.711,160.912,274.0076959509041,170.30140743654053,0.008018289,0.0042048744,0.00959756,0.0050997804,0.008836729,0.05345419,0.42702368,0.7874862,0.444428,0.013194207,brown_exact,1.346063085556048e-11,1.346063085556048e-11,ray_hit,0.0,1.3446232e-11,right_middip_roll_rubber_link,1451
middle,M054,61.788,163.898,33.77295889355665,177.38634756355927,-0.008457532,0.004162572,0.0084537575,0.0044230726,-0.0076416093,0.052577164,0.32975075,-0.86502635,0.37814522,0.012661867,brown_exact,9.750067788532476e-12,9.750067788532476e-12,ray_hit,0.0,9.774755e-12,right_middip_roll_rubber_link,1008
middle,M055,280.575,169.573,323.9379575223836,190.18362835255385,0.009198064,0.004462349,0.0075578415,0.0035370418,0.01001094,0.052113406,0.18984905,0.9355411,0.29785928,0.012713689,brown_exact,1.0399175890730302e-13,1.0399175890730302e-13,ray_hit,0.0,1.7288251e-13,right_middip_roll_rubber_link,1593
middle,M056,160.092,171.974,159.84933391413733,175.00521449192405,-0.00045458227,0.005831968,0.012299773,0.0057344045,0.00036606743,0.056550004,0.67527384,-0.026247498,0.7370999,0.013619945,brown_exact,7.246433953445041e-15,7.246433953445041e-15,ray_hit,0.0,0.0,right_middip_roll_rubber_link,810
middle,M057,182.108,172.349,183.11389694570374,175.72211866517026,0.0017258766,0.005877997,0.012254909,0.005662399,0.0025462834,0.056547575,0.6762214,0.08985616,0.731198,0.013700813,brown_exact,1.026033736153733e-14,1.026033736153733e-14,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1490
middle,M058,138.806,172.666,137.1216535957498,176.47316631541105,-0.0025493794,0.0058746166,0.012102688,0.005578098,-0.0017293005,0.056432366,0.66921073,-0.15253346,0.7272486,0.013692535,brown_exact,1.621132128783716e-14,1.621132128783716e-14,ray_hit,0.0,0.0,right_middip_roll_rubber_link,836
middle,M059,40.579,172.868,-15.83007919577173,199.299945491141,-0.009162135,0.004385161,0.00664155,0.0030454684,-0.0083511295,0.0513818,0.13033809,-0.95489776,0.2668,0.012136085,brown_exact,0.0,0.0,ray_hit,0.0,6.9980344e-14,right_middip_roll_rubber_link,1304
middle,M060,203.158,173.287,206.265489578349,178.07402711005196,0.003801078,0.005953107,0.011962173,0.00540301,0.004620573,0.05638073,0.6702189,0.2348175,0.7040365,0.013891769,brown_exact,7.246433953445041e-15,7.246433953445041e-15,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1494
middle,M061,117.68,174.056,113.132768231346,179.85039474809355,-0.0045707626,0.005931624,0.011601771,0.005207177,-0.003752019,0.056098923,0.55966634,-0.35857737,0.747125,0.0138085885,brown_exact,4.170151253181427e-12,4.170151253181427e-12,ray_hit,0.0,4.178402e-12,right_middip_roll_rubber_link,880
middle,M062,224.528,176.259,232.30312284171495,184.33608876788247,0.005808485,0.00613324,0.011240629,0.0047784536,0.0066257664,0.05596614,0.55948776,0.45104074,0.6953673,0.014060827,brown_exact,1.861585299626269e-12,1.861585299626269e-12,ray_hit,0.0,1.8528688e-12,right_middip_roll_rubber_link,1533
middle,M063,95.881,177.807,84.83266274155187,188.01772110681563,-0.006467199,0.0060813483,0.010597739,0.0044297134,-0.00565124,0.055454347,0.50538296,-0.563998,0.6530654,0.013824599,brown_exact,7.246433953445041e-15,7.246433953445041e-15,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,895
middle,M064,297.817,178.29,384.83380554148084,219.7122542774851,0.009701428,0.0047090473,0.0057664406,0.002151192,0.010509365,0.050949644,0.08978634,0.97128916,0.22030842,0.012228846,brown_exact,0.46665897882637436,0.46665897882637436,ray_hit,0.0,0.46665898,right_middip_roll_rubber_link,1386
middle,M065,22.359,183.514,-81.53877990551544,233.2802321090667,-0.009494395,0.0046449304,0.005045728,0.0017840224,-0.008687888,0.05037191,0.033674695,-0.9822744,0.1843991,0.011712313,monotonic_extrapolation,11.19213689601996,1.336327815963823e-13,ray_hit,0.0,1.304383e-13,right_middip_roll_rubber_link,1154
middle,M066,248.248,183.848,268.03842538244595,200.33374820693388,0.007710548,0.0065229526,0.009762252,0.0034913672,0.008523251,0.05513051,0.3177448,0.75426465,0.5745634,0.014046459,brown_exact,3.859051634285112e-13,3.859051634285112e-13,ray_hit,0.0,3.6948222e-13,right_middip_roll_rubber_link,1583
middle,M067,69.887,187.66,40.45407070879176,210.3915373894219,-0.008151995,0.006398959,0.008586572,0.002851713,-0.007341673,0.054175064,0.21614274,-0.8720946,0.43901405,0.0134584885,brown_exact,1.2867571943647515e-11,1.2867571943647515e-11,ray_hit,0.0,1.28603135e-11,right_middip_roll_rubber_link,1026
middle,M068,160.549,189.464,160.1534222082564,196.5941128000058,-0.00042170536,0.007786835,0.0121758,0.0042007356,0.00039347578,0.057768635,0.58873963,-0.027109629,0.807868,0.014459002,brown_exact,1.7974468099675162e-12,1.7974468099675162e-12,ray_hit,0.0,1.7907932e-12,right_middip_roll_rubber_link,1521
middle,M069,180.32,189.677,181.87338277433759,197.20639771101872,0.0015941756,0.007818774,0.01213673,0.0041436558,0.002409166,0.057761062,0.5897812,0.10495804,0.8007134,0.014524973,brown_exact,2.411993575746513e-12,2.411993575746513e-12,ray_hit,0.0,2.4218566e-12,right_middip_roll_rubber_link,1525
middle,M070,140.505,190.197,137.88714847566868,198.4181126683817,-0.0024498897,0.007817637,0.011962601,0.004042178,-0.0016352868,0.0576311,0.49108922,-0.18692419,0.8508177,0.014499008,brown_exact,6.297648730415031e-12,6.297648730415031e-12,ray_hit,0.0,6.3181274e-12,right_middip_roll_rubber_link,833
